2022-09-04 07:21:51,236 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:51,236 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:52,764 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:52,764 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:54,265 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:54,265 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:55,677 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:55,677 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:57,003 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:57,003 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:58,331 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:58,331 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:59,634 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:59,634 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:01,300 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:01,300 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:02,669 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:02,669 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:04,129 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:04,129 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:05,469 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:05,469 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:06,918 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:06,918 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:08,388 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:08,388 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:09,814 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:09,814 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:11,361 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:11,361 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:13,134 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:13,134 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:14,614 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:14,614 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:15,943 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:15,943 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:17,307 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:17,307 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:18,604 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:18,604 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:20,016 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:20,016 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:21,429 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:21,429 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:22,775 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:22,775 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:24,201 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:24,201 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:25,553 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:25,553 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:26,891 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:26,891 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:28,498 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:28,498 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:29,860 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:29,860 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:31,665 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:31,665 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:33,143 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:33,143 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:34,485 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:34,485 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:35,861 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:35,861 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:37,237 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:37,237 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:38,609 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:38,609 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:39,903 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:39,903 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:41,588 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:41,588 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:42,943 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:42,943 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:22:44,613 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
